Year,FFD,GHD,Jpn_temp_anom,Jpn_temp,Fr_temp_anom,Fr_temp
1911,98,12.4,0.369,12.619,0.898,9.888
1912,105,29.0,0.137,12.387,-0.7378,8.2522
1913,103,33.0,-1.706,10.544,-0.9684,8.0216
1914,102,35.5,1.667,13.917,-0.3838,8.6062
1915,102,16.3,-1.338,10.912,0.0554,9.0454
1916,112,36.3,-1.888,10.362,-0.5944,8.3956
1917,103,,-1.221,11.029,0.1786,9.1686
1918,104,25.5,-0.415,11.835,-0.2532,8.7368
1919,,28.9,0.465,12.715,-0.8144,8.1756
1920,104,27.0,-0.026,12.224,0.1478,9.1378
1921,,20.8,-1.475,10.775,0.7808,9.7708
1922,101,26.1,-1.161,11.089,-0.2314,8.7586
1923,97,28.8,0.724,12.974,-0.1982,8.7918
1924,111,23.3,-3.003,9.247,-0.3236,8.6664
1925,108,22.5,-1.934,10.316,0.0202,9.0102
1926,108,24.5,-1.008,11.242,-0.5604,8.4296
1927,107,21.5,-1.088,11.162,0.0476,9.0376
1928,107,25.3,-0.394,11.856,0.4052,9.3952
1929,103,24.5,-0.797,11.453,0.0046,8.9946
1930,95,26.5,1.231,13.481,0.1818,9.1718
1931,105,26.3,0.094,12.344,0.1788,9.1688
1932,105,34.8,-0.918,11.332,-0.2166,8.7734
1933,106,26.3,-2.176,10.074,0.1842,9.1742
1934,104,16.3,-1.542,10.708,1.061,10.051
1935,102,31.3,0.119,12.369,0.1892,9.1792
1936,111,29.8,-2.1,10.15,-0.3134,8.6766
1937,100,17.8,-0.14,12.11,0.7482,9.7382
1938,98,31.8,1.023,13.273,-0.7232,8.2668
1939,104,41.5,-0.559,11.691,-0.3366,8.6534
1940,110,26.3,-0.175,12.075,-0.5198,8.4702
1941,100,37.5,0.24,12.49,-0.8808,8.1092
1942,,25.5,1.837,14.087,0.378,9.368
1943,,19.7,-0.728,11.522,0.9386,9.9286
1944,,33.2,-1.236,11.014,0.9226,9.9126
1945,,16.8,-0.885,11.365,1.5882,10.5782
1946,97,25.0,-1.462,10.788,0.6948,9.6848
1947,107,16.3,-1.494,10.756,2.5062,11.4962
1948,102,25.7,-0.355,11.895,0.0784,9.0684
1949,107,25.0,-1.544,10.706,1.0656,10.0556
1950,99,21.8,0.025,12.275,1.3758,10.3658
1951,98,34.2,-0.1,12.15,-0.1864,8.8036
1952,105,16.5,-0.554,11.696,1.93,10.92
1953,101,22.5,1.118,13.368,0.6404,9.6304
1954,98,38.2,-0.031,12.219,-0.9578,8.0322
1955,97,30.8,1.054,13.304,0.1228,9.1128
1956,99,42.3,0.475,12.725,-1.0562,7.9338
1957,103,31.9,-1.538,10.712,-0.3058,8.6842
1958,99,30.8,0.145,12.395,-0.0856,8.9044
1959,92,16.1,1.633,13.883,1.2432,10.2332
1960,95,20.8,1.215,13.465,0.0558,9.0458
1961,99,24.8,0.541,12.791,0.2682,9.2582
1962,102,39.5,-0.135,12.115,-0.354,8.636
1963,101,36.8,0.06,12.31,-0.0872,8.9028
1964,99,21.5,-0.22,12.03,1.339,10.329
1965,110,41.9,-1.59,10.66,-0.7626,8.2274
1966,97,26.2,1.285,13.535,0.1076,9.0976
1967,97,31.5,0.666,12.916,0.0908,9.0808
1968,99,31.8,0.951,13.201,-0.4034,8.5866
1969,101,35.8,-0.966,11.284,-0.0784,8.9116
1970,107,30.0,-2.936,9.314,-0.2264,8.7636
1971,98,19.1,-0.476,11.774,1.1478,10.1378
1972,99,36.3,0.836,13.086,-0.7486,8.2414
1973,97,23.5,-0.75,11.5,0.446,9.436
1974,99,24.9,-0.893,11.357,-0.1424,8.8476
1975,100,26.5,-0.329,11.921,0.1458,9.1358
1976,99,8.8,0.181,12.431,1.4686,10.4586
1977,93,35.1,0.547,12.797,-0.9078,8.0822
1978,104,35.1,-0.349,11.901,-1.1072,7.8828
1979,97,27.1,0.337,12.587,-0.4494,8.5406
1980,102,39.0,-0.18,12.07,-1.1472,7.8428
1981,99,24.1,-0.003,12.247,0.048,9.038
1982,93,19.0,0.924,13.174,0.7412,9.7312
1983,99,26.0,-0.023,12.227,1.2412,10.2312
1984,109,33.5,-2.535,9.715,-0.5636,8.4264
1985,99,27.1,0.239,12.489,0.2276,9.2176
1986,102,24.6,-0.476,11.774,0.2474,9.2374
1987,95,29.0,0.325,12.575,-0.1346,8.8554
1988,106,22.1,-0.323,11.927,0.8352,9.8252
1989,93,14.1,1.362,13.612,0.9202,9.9102
1990,88,20.1,1.951,14.201,0.9214,9.9114
1991,97,26.0,0.906,13.156,0.2498,9.2398
1992,94,16.3,1.25,13.5,1.5524,10.5424
1993,97,16.5,0.336,12.586,1.0674,10.0574
1994,99,16.2,-0.482,11.768,1.4712,10.4612
1995,99,22.5,0.685,12.935,1.0192,10.0092
1996,103,20.2,0.17,12.42,0.447,9.437
1997,97,11.9,1.229,13.479,1.0102,10.0002
1998,91,18.1,1.525,13.775,1.135,10.125
1999,94,16.1,1.149,13.399,1.2524,10.2424
2000,100,11.2,0.117,12.367,1.3188,10.3088
2001,96,20.1,0.419,12.669,0.9978,9.9878
2002,91,16.2,2.604,14.854,1.0206,10.0106
2003,98,-10.1,0.103,12.353,3.6724,12.6624
2004,92,21.5,1.032,13.282,0.7766,9.7666
2005,99,13.5,0.017,12.267,1.3296,10.3196
2006,98,16.0,0.513,12.763,1.5468,10.5368
2007,97,,1.188,13.438,1.8012,10.7912
2008,95,,2.007,14.257,1.0464,10.0364
2009,95,,1.318,13.568,2.2478,11.2378
2010,95,,0.622,12.872,1.1326,10.1226
