Year,FFD,GHD,Jpn_temp_anom,Jpn_temp,Fr_temp_anom,Fr_temp
1162,,,,,,
1163,112,,,,,
1164,100,,,,,
1165,106,,,,,
1166,95,,,,,
1167,111,,,,,
1168,,,,,,
1169,112,,,,,
1170,113,,,,,
1171,,,,,,
1172,103,,,,,
1173,117,,,,,
1174,112,,,,,
1175,113,,,,,
1176,113,,,,,
1177,,,,,,
1178,,,,,,
1179,103,,,,,
1180,98,,,,,
1181,,,,,,
1182,,,,,,
1183,101,,,,,
1184,115,,,,,
1185,115,,,,,
1186,,,,,,
1187,104,,,,,
1188,107,,,,,
1189,,,,,,
1190,112,,,,,
1191,106,,,,,
1192,,,,,,
1193,,,,,,
1194,119,,,,,
1195,,,,,,
1196,,,,,,
1197,,,,,,
1198,,,,,,
1199,109,,,,,
1200,104,,,,,
1201,96,,,,,
1202,106,,,,,
1203,105,,,,,
1204,110,,,,,
1205,105,,,,,
1206,,,,,,
1207,104,,,,,
1208,,,,,,
1209,,,,,,
1210,112,,,,,
1211,,,,,,
1212,98,,,,,
1213,107,,,,,
1214,102,,,,,
1215,108,,,,,
1216,101,,,,,
1217,,,,,,
1218,,,,,,
1219,101,,,,,
1220,,,,,,
1221,99,,,,,
1222,,,,,,
1223,116,,,,,
1224,,,,,,
1225,105,,,,,
1226,106,,,,,
1227,111,,,,,
1228,,,,,,
1229,97,,,,,
1230,102,,,,,
1231,101,,,,,
1232,92,,,,,
1233,105,,,,,
1234,,,,,,
1235,110,,,,,
1236,,,,,,
1237,,,,,,
1238,,,,,,
1239,,,,,,
1240,106,,,,,
1241,,,,,,
1242,,,,,,
1243,,,,,,
1244,108,,,,,
1245,108,,,,,
1246,98,,,,,
1247,106,,,,,
1248,,,,,,
1249,108,,,,,
1250,116,,,,,
1251,100,,,,,
1252,,,,,,
1253,,,,,,
1254,110,,,,,
1255,,,,,,
1256,,,,,,
1257,94,,,,,
1258,,,,,,
1259,96,,,,,
1260,,,,,,
1261,,,,,,
1262,,,,,,
1263,120,,,,,
1264,103,,,,,
1265,,,,,,
1266,,,,,,
1267,105,,,,,
1268,,,,,,
1269,100,,,,,
1270,,,,,,
1271,100,,,,,
1272,,,,,,
1273,,,,,,
1274,,,,,,
1275,,,,,,
1276,,,,,,
1277,,,,,,
1278,113,,,,,
1279,101,,,,,
1280,102,,,,,
1281,,,,,,
1282,,,,,,
1283,103,,,,,
1284,102,,,,,
1285,105,,,,,
1286,112,,,,,
1287,110,,,,,
1288,108,,,,,
1289,107,,,,,
1290,,,,,,
1291,,,,,,
1292,107,,,,,
1293,,,,,,
1294,101,,,,,
1295,102,,,,,
1296,,,,,,
1297,,,,,,
1298,,,,,,
1299,,,,,,
1300,,,,,,
1301,95,,,,,
1302,96,,,,,
1303,,,,,,
1304,,,,,,
1305,,,,,,
1306,,,,,,
1307,104,,,,,
1308,,,,,,
1309,,,,,,
1310,,,,,,
1311,94,,,,,
1312,100,,,,,
1313,,,,,,
1314,101,,,,,
1315,111,,,,,
1316,103,,,,,
1317,102,,,,,
1318,,,,,,
1319,116,,,,,
1320,,,,,,
1321,102,,,,,
1322,106,,,,,
1323,124,,,,,
1324,98,,,,,
1325,,,,,,
1326,107,,,,,
1327,,,,,,
1328,,,,,,
1329,,,,,,
1330,,,,,,
1331,112,,,,,
1332,115,,,,,
1333,,,,,,
1334,,,,,,
1335,,,,,,
1336,,,,,,
1337,,,,,,
1338,,,,,,
1339,,,,,,
1340,,,,,,
1341,,,,,,
1342,110,,,,,
1343,,,,,,
1344,102,,,,,
1345,,,,,,
1346,107,,,,,
1347,109,,,,,
1348,,,,,,
1349,112,,,,,
1350,101,,,,,
1351,115,,,,,
1352,,,,,,
1353,,,,,,
1354,,15.3,,,,
1355,,13.4,,,,
1356,117,,,,,
1357,107,18.3,,,,
1358,110,,,,,
1359,105,,,,,
1360,101,,,,,
1361,108,,,,,
1362,,,,,,
1363,107,,,,,
1364,110,,,,,
1365,,,,,,
1366,112,,,,,
1367,97,,,,,
1368,88,,,,,
1369,94,,,,,
1370,109,,,,,
1371,,,,,,
1372,,26.5,,,,
1373,110,18.1,,,,
1374,,27.3,,,,
1375,103,19.5,,,,
1376,99,22.8,,,,
1377,105,,,,,
1378,104,22.9,,,,
1379,103,22.3,,,,
1380,,19.8,,,,
1381,108,21.3,,,,
1382,105,14.4,,,,
1383,102,4.8,,,,
1384,98,6.3,,,,
1385,99,9.5,,,,
1386,105,18.1,,,,
1387,100,19.6,,,,
1388,99,26.1,,,,
1389,,24.6,,,,
1390,,14.6,,,,
1391,,14.1,,,,
1392,,37.9,,,,
1393,,1.3,,,,
1394,,31.0,,,,
1395,,,,,,
1396,,,,,,
1397,,12.0,,,,
1398,106,27.0,,,,
1399,,26.0,,,,
1400,,10.5,,,,
1401,101,19.5,,,,
1402,103,15.4,,,,
1403,104,18.7,,,,
1404,,29.5,,,,
1405,,26.3,,,,
1406,102,24.0,,,,
1407,101,26.5,,,,
1408,111,27.8,,,,
1409,86,17.8,,,,
1410,102,15.5,,,,
1411,,36.5,,,,
1412,93,17.3,,,,
1413,91,14.0,,,,
1414,,30.1,,,,
1415,105,21.5,,,,
1416,101,24.9,,,,
1417,109,21.1,,,,
1418,98,9.5,,,,
1419,100,18.0,,,,
1420,112,-2.6,,,,
1421,99,23.3,,,,
1422,109,10.4,,,,
1423,96,26.0,,,,
1424,103,11.8,,,,
1425,98,16.0,,,,
1426,99,14.0,,,,
1427,102,25.0,,,,
1428,,35.0,,,,
1429,98,24.0,,,,
1430,108,15.0,,,,
1431,102,19.0,,,,
1432,104,,,,,
1433,98,13.0,,,,
1434,113,1.0,,,,
1435,95,25.0,,,,
1436,101,29.0,,,,
1437,103,,,,,
1438,99,,,,,
1439,101,,,,,
1440,98,28.0,,,,
1441,105,18.0,,,,
1442,,,,,,
1443,107,26.0,,,,
1444,109,,,,,
1445,,,,,,
1446,108,,,,,
1447,111,,,,,
1448,96,30.0,,,,
1449,95,42.0,,,,
1450,100,25.0,,,,
1451,103,39.0,,,,
1452,92,24.0,,,,
1453,107,37.0,,,,
1454,105,34.0,,,,
1455,96,31.0,,,,
1456,106,33.0,,,,
1457,105,14.0,,,,
1458,112,18.0,,,,
1459,113,35.0,,,,
1460,111,,,,,
1461,106,16.0,,,,
1462,106,,,,,
1463,101,35.0,,,,
1464,104,14.0,,,,
1465,98,41.0,,,,
1466,105,27.0,,,,
1467,,27.0,,,,
1468,101,32.0,,,,
1469,,20.0,,,,
1470,,37.0,,,,
1471,,11.0,,,,
1472,114,23.0,,,,
1473,,-2.0,,,,
1474,98,39.0,,,,
1475,,31.0,,,,
1476,100,28.0,,,,
1477,110,41.0,,,,
1478,115,19.0,,,,
1479,110,16.0,,,,
1480,104,39.0,,,,
1481,106,47.0,,,,
1482,108,16.0,,,,
1483,101,15.0,,,,
1484,97,21.0,,,,
1485,94,44.0,,,,
1486,99,21.0,,,,
1487,93,23.0,,,,
1488,103,43.0,,,,
1489,100,32.0,,,,
1490,97,26.0,,,,
1491,107,46.0,,,,
1492,108,,,,,
1493,100,36.0,,,,
1494,106,19.0,,,,
1495,94,14.0,,,,
1496,97,41.0,,,,
1497,108,40.0,,,,
1498,97,27.0,,,,
1499,111,29.0,,,,
1500,97,14.0,,,,
1501,103,19.0,,,,
1502,115,29.0,,,,
1503,108,28.0,,,,
1504,114,15.0,,,,
1505,106,43.0,,,,
1506,106,28.0,,,,
1507,108,16.0,,,,
1508,111,30.0,,,,
1509,102,20.0,,,,
1510,110,30.0,,,,
1511,111,44.0,,,,
1512,109,24.0,,,,
1513,110,,,,,
1514,105,33.0,,,,
1515,111,35.0,,,,
1516,104,12.0,,,,
1517,106,26.0,,,,
1518,115,22.0,,,,
1519,111,40.0,,,,
1520,105,,,,,
1521,107,,,,,
1522,103,36.0,,,,
1523,109,26.0,,,,
1524,109,,,,,
1525,104,21.0,,,,
1526,128,,,,,
1527,105,43.0,,,,
1528,106,35.0,,,,
1529,107,,,,,
1530,107,15.0,,,,
1531,103,,,,,
1532,108,20.0,,,,
1533,111,36.0,,,,
1534,108,20.0,,,,
1535,95,30.0,,,,
1536,108,8.0,,,,
1537,108,40.0,,,,
1538,112,12.0,,,,
1539,120,26.0,,,,
1540,122,3.0,,,,
1541,109,,,,,
1542,102,,,,,
1543,119,,,,,
1544,107,,,,,
1545,97,11.0,,,,
1546,112,23.0,,,,
1547,104,31.0,,,,
1548,118,29.0,,,,
1549,117,34.0,,,,
1550,111,37.0,,,,
1551,109,26.0,,,,
1552,104,13.0,,,,
1553,119,35.0,,,,
1554,,,,,,
1555,101,40.0,,,,
1556,120,5.0,,,,
1557,93,33.0,,,,
1558,111,32.0,,,,
1559,96,5.0,,,,
1560,100,36.0,,,,
1561,102,14.0,,,,
1562,99,,,,,
1563,99,30.0,,,,
1564,109,46.0,,,,
1565,114,,,,,
1566,97,38.0,,,,
1567,108,23.0,,,,
1568,106,30.0,,,,
1569,,26.0,,,,
1570,112,35.0,,,,
1571,108,,,,,
1572,107,19.0,,,,
1573,,40.0,,,,
1574,,29.0,,,,
1575,,26.0,,,,
1576,109,36.0,,,,
1577,100,33.0,,,,
1578,,21.0,,,,
1579,102,39.0,,,,
1580,97,30.0,,,,
1581,105,33.0,,,,
1582,,28.0,,,,
1583,108,12.0,,,,
1584,106,25.0,,,,
1585,105,34.0,,,,
1586,106,32.0,,,,
1587,105,42.0,,,,
1588,106,24.0,,,,
